City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
146,Oistins,BB,78.89,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
152,Moerai,PF,79.29,light rain,-22.4333,-151.3333,Le Manotel
153,Merauke,ID,79.81,light rain,-8.4667,140.3333,
154,Kattivakkam,IN,79.07,clear sky,13.2167,80.3167,Euronova Freezer
158,Gizo,SB,82.47,overcast clouds,-8.103,156.8419,Imagination Island
161,San Policarpo,PH,80.94,overcast clouds,12.1791,125.5072,Agapita M. Nicart
165,Kualakapuas,ID,80.76,overcast clouds,-3.0091,114.3876,Guest House Izonk
176,The Valley,AI,80.1,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
177,Daru,PG,82.08,overcast clouds,-9.0763,143.2092,Daru Lodge
178,Alofi,NU,78.39,light rain,-19.0595,-169.9187,Taloa Heights
182,East London,ZA,78.22,overcast clouds,-33.0153,27.9116,Tu Casa
189,Touros,BR,81.5,few clouds,-5.1989,-35.4608,INN NEW HORIZON
205,Candolim,IN,76.89,light rain,15.5181,73.7626,Resort Terra Paraiso
207,Faanui,PF,80.62,broken clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
208,Hervey Bay,AU,86.11,clear sky,-25.2986,152.8535,Shelly Bay Resort
209,Kavieng,PG,81.91,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
212,Beroroha,MG,76.46,scattered clouds,-21.6667,45.1667,
216,Pallipattu,IN,76.35,scattered clouds,13.3386,79.4449,Annur Holiday Resorts
218,Ambon,ID,87.94,few clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
221,Miri,MY,80.74,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
222,Matamoros,MX,82.51,broken clouds,25.5333,-103.25,Quinta Belem
223,Sinnamary,GF,78.1,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
233,Porto Novo,BJ,78.84,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
237,Cabo San Lucas,MX,76.51,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
238,Galesong,ID,82.42,overcast clouds,-5.3166,119.3661,Sapriadi Appy
244,Kirakira,SB,83.46,moderate rain,-10.4544,161.9205,SanBiz Lodge
250,Ishigaki,JP,75.33,few clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
255,Beloha,MG,76.15,broken clouds,-25.1667,45.05,
260,Ladario,BR,79.84,overcast clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
263,Padang,ID,80.65,overcast clouds,-0.9492,100.3543,Mercure Padang
267,Alice Springs,AU,85.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
275,Yulara,AU,87.64,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
278,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
280,Umm Lajj,SA,76.6,broken clouds,25.0213,37.2685,Moon light Furnished Units
288,Eydhafushi,MV,82.87,clear sky,5.1033,73.0708,Soneva Fushi
289,Santa Rosa,PH,86.09,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
296,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
298,Mormugao,IN,76.48,clear sky,15.4,73.8,Coconut Creek Resort
312,Manadhoo,MV,82.9,clear sky,5.7667,73.3833,Reason Inn
317,Nanakuli,US,80.55,broken clouds,21.3906,-158.1547,Camp Pālehua
318,Gamba,GA,77.11,overcast clouds,-2.65,10.0,
319,Labuan,MY,82.76,few clouds,5.2767,115.2417,Tiara Labuan Hotel
324,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
327,Biak,ID,82.8,overcast clouds,-0.9131,122.8766,Penginapan Kim
329,Mankono,CI,77.83,overcast clouds,8.0586,-6.1897,Hôtel cotonputeur
336,Mahibadhoo,MV,81.55,overcast clouds,3.7833,72.9667,Omadhoo Inn
340,Galle,LK,76.59,few clouds,6.0367,80.217,Amangalla
342,Amahai,ID,86.29,broken clouds,-3.3333,128.9167,HOTEL ISABELA
343,Phuket,TH,80.82,few clouds,8.0,98.25,The Surin
358,Sola,VU,83.23,broken clouds,-13.8833,167.55,Leumerus Bungalows
360,Lorengau,PG,82.2,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
363,Moranbah,AU,88.57,few clouds,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
368,Ejura,GH,75.78,overcast clouds,7.3856,-1.3562,Fire Servece
369,Presidencia Roque Saenz Pena,AR,80.11,overcast clouds,-26.7852,-60.4388,Hotel Aconcagua
385,Puerto Madero,MX,77.2,clear sky,14.7208,-92.4215,Hospedaje madero
388,Katherine,AU,89.92,scattered clouds,-14.4667,132.2667,Pine Tree Motel
402,Samarai,PG,86.13,overcast clouds,-10.6167,150.6667,Nuli Sapi
404,Tumpat,MY,82.45,few clouds,6.1978,102.171,Baan Tanyong B&B
408,Coari,BR,75.31,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
409,Kedougou,SN,76.42,broken clouds,12.5579,-12.1743,Relais de Kédougou
412,Puerto Suarez,BO,79.47,broken clouds,-18.95,-57.8,Hotel casa real
415,Guacimo,CR,79.38,broken clouds,10.2104,-83.6807,Hotel Los Ríos
418,Thinadhoo,MV,80.65,overcast clouds,0.5333,72.9333,
424,Japura,ID,77.05,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
426,Luganville,VU,86.72,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
428,Namatanai,PG,86.25,broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
432,Barao De Melgaco,BR,84.72,overcast clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
433,Oriximina,BR,79.02,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
438,Parintins,BR,80.24,overcast clouds,-2.6283,-56.7358,Cama e Cafe
439,Mana,GF,77.63,light rain,5.6592,-53.7767,LE SAMANA
445,Poum,NC,82.18,overcast clouds,-20.2333,164.0167,Gîte kajeon
453,Garissa,KE,75.83,scattered clouds,-0.4536,39.6401,Sharif Plaza Hotel
456,Puerto Escondido,MX,83.23,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
461,Katobu,ID,84.07,broken clouds,-4.9408,122.5276,La Ode Husein
462,Koungheul,SN,78.44,broken clouds,13.9833,-14.8,
463,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
477,Byron Bay,AU,80.55,broken clouds,-28.65,153.6167,Backpackers Inn
486,Pontes E Lacerda,BR,80.1,overcast clouds,-15.2261,-59.3353,Hotel Bressan
492,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
497,Makurdi,NG,75.29,broken clouds,7.7411,8.5121,Doo Palace Hotel
498,Vanimo,PG,86.27,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
506,Bathsheba,BB,79.41,few clouds,13.2167,-59.5167,Atlantis Hotel
517,Durban,ZA,76.93,overcast clouds,-29.8579,31.0292,Hilton Durban
525,Kudahuvadhoo,MV,81.54,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
530,Pilar,BR,76.93,scattered clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
546,Boa Vista,BR,78.78,overcast clouds,2.8197,-60.6733,Aipana Plaza Hotel
548,Gambela,ET,77.31,clear sky,8.25,34.5833,Solomon Debebe Hotel
549,Morondava,MG,79.83,scattered clouds,-20.2833,44.2833,La Case Bambou
556,Road Town,VG,80.69,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
564,San Patricio,US,79.54,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
572,Kupang,ID,84.78,scattered clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
